"index","Date","Open","High","Low","Close","Adj Close","Volume"
"1","2010-01-04","7.6225","7.6607","7.585","7.6432","6.553","493729600"
"2","2010-01-05","7.6643","7.6996","7.6161","7.6564","6.5644","601904800"
"3","2010-01-06","7.6564","7.6868","7.5268","7.5346","6.4599","552160000"
"4","2010-01-07","7.5625","7.5714","7.4661","7.5207","6.448","477131200"
"5","2010-01-08","7.5107","7.5714","7.4664","7.5707","6.4909","447610800"
"6","2010-01-11","7.6","7.6071","7.4446","7.5039","6.4336","462229600"
"7","2010-01-12","7.4711","7.4918","7.3721","7.4186","6.3604","594459600"
"8","2010-01-13","7.4239","7.5332","7.2893","7.5232","6.4501","605892000"
"9","2010-01-14","7.5039","7.5164","7.465","7.4796","6.4128","432894000"
"10","2010-01-15","7.5332","7.5571","7.3525","7.3546","6.3056","594067600"
"11","2010-01-19","7.4404","7.6854","7.4014","7.68","6.5846","730007600"
"12","2010-01-20","7.6754","7.6982","7.4821","7.5618","6.4832","612152800"
"13","2010-01-21","7.5743","7.6182","7.4004","7.4311","6.3711","608154400"
"14","2010-01-22","7.385","7.4107","7.0414","7.0625","6.0551","881767600"
"15","2010-01-25","7.2325","7.3107","7.1496","7.2525","6.218","1065699600"
"16","2010-01-26","7.3554","7.6325","7.235","7.355","6.3059","1867110000"
"17","2010-01-27","7.3875","7.5207","7.1261","7.4243","6.3653","1722568400"
"18","2010-01-28","7.3189","7.3393","7.0964","7.1175","6.1023","1173502400"
"19","2010-01-29","7.1814","7.2214","6.7946","6.8593","5.8809","1245952400"
"20","2010-02-01","6.8704","7","6.8321","6.9546","5.9627","749876400"
"21","2010-02-02","6.9968","7.0114","6.9064","6.995","5.9973","698342400"
"22","2010-02-03","6.9704","7.15","6.9436","7.1154","6.1005","615328000"
"23","2010-02-04","7.0261","7.0846","6.8418","6.8589","5.8806","757652000"
"24","2010-02-05","6.8796","7","6.8161","6.9807","5.985","850306800"
"25","2010-02-08","6.9889","7.0671","6.9286","6.9329","5.944","478270800"
"26","2010-02-09","7.015","7.0536","6.9554","7.0068","6.0074","632886800"
"27","2010-02-10","6.9961","7.0214","6.9379","6.9686","5.9746","370361600"
"28","2010-02-11","6.96","7.1339","6.9307","7.0954","6.0833","550345600"
"29","2010-02-12","7.0754","7.2014","6.9821","7.1564","6.1357","655468800"
"30","2010-02-16","7.2121","7.2746","7.1971","7.2643","6.2281","543737600"
"31","2010-02-17","7.2925","7.2968","7.1736","7.2339","6.2021","436396800"
"32","2010-02-18","7.2011","7.2818","7.1757","7.2475","6.2138","422825200"
"33","2010-02-19","7.2093","7.2571","7.1825","7.2025","6.1752","415469600"
"34","2010-02-22","7.2264","7.2321","7.1139","7.1579","6.1369","390563600"
"35","2010-02-23","7.1429","7.1904","6.9896","7.0379","6.034","575094800"
"36","2010-02-24","7.0796","7.1943","7.0657","7.1664","6.1442","460566400"
"37","2010-02-25","7.0493","7.245","7.0318","7.2143","6.1853","665126000"
"38","2010-02-26","7.2279","7.3275","7.2143","7.3079","6.2655","507460800"
"39","2010-03-01","7.3482","7.4821","7.3375","7.4639","6.3993","550093600"
"40","2010-03-02","7.4975","7.5296","7.4193","7.4589","6.395","566546400"
"41","2010-03-03","7.4621","7.4954","7.4264","7.4761","6.4097","372052800"
"42","2010-03-04","7.4743","7.5329","7.4511","7.5254","6.452","366041200"
"43","2010-03-05","7.6764","7.8464","7.6654","7.8196","6.7043","899620400"
"44","2010-03-08","7.8575","7.8604","7.7946","7.8243","6.7083","429889600"
"45","2010-03-09","7.7968","8.0357","7.7818","7.965","6.8289","920259200"
"46","2010-03-10","7.9939","8.0529","7.9714","8.03","6.8846","596218000"
"47","2010-03-11","7.9968","8.0536","7.9757","8.0536","6.9049","405700400"
"48","2010-03-12","8.1204","8.1332","8.0625","8.0929","6.9385","416323600"
"49","2010-03-15","8.0493","8.0536","7.8661","7.9943","6.854","493502800"
"50","2010-03-16","8.0064","8.035","7.9468","8.0161","6.8727","446908000"
"51","2010-03-17","8.0321","8.0875","7.9739","8.0043","6.8626","450956800"
"52","2010-03-18","8.0036","8.0357","7.9504","8.0232","6.8788","342109600"
"53","2010-03-19","8.0282","8.0443","7.9011","7.9375","6.8053","559445600"
"54","2010-03-22","7.8739","8.0714","7.8625","8.0268","6.8819","456419600"
"55","2010-03-23","8.0586","8.1707","8.0036","8.1557","6.9924","602431200"
"56","2010-03-24","8.13","8.2214","8.1254","8.1918","7.0234","597780400"
"57","2010-03-25","8.2471","8.2489","8.0804","8.0946","6.9401","542284400"
"58","2010-03-26","8.1768","8.2839","8.1625","8.2464","7.0702","640875200"
"59","2010-03-29","8.3214","8.3525","8.2721","8.2996","7.1158","540744400"
"60","2010-03-30","8.45","8.4814","8.3661","8.4232","7.2218","527310000"
"61","2010-03-31","8.4104","8.4504","8.3736","8.3929","7.1957","430659600"
"62","2010-04-01","8.4789","8.5261","8.3125","8.4275","7.2254","603145200"
"63","2010-04-05","8.3921","8.5182","8.3846","8.5175","7.3026","684507600"
"64","2010-04-06","8.5071","8.58","8.4643","8.555","7.3348","447017200"
"65","2010-04-07","8.5554","8.64","8.5236","8.5929","7.3672","628502000"
"66","2010-04-08","8.5871","8.6264","8.5014","8.5696","7.3473","572989200"
"67","2010-04-09","8.6225","8.6389","8.5879","8.6354","7.4037","334182800"
"68","2010-04-12","8.65","8.6811","8.6361","8.6532","7.419","333026400"
"69","2010-04-13","8.6379","8.6714","8.6111","8.6582","7.4233","306210800"
"70","2010-04-14","8.76","8.7789","8.7168","8.7746","7.5231","404076400"
"71","2010-04-15","8.7779","8.8939","8.7682","8.89","7.622","376784800"
"72","2010-04-16","8.8775","8.9693","8.7339","8.8357","7.5754","750545600"
"73","2010-04-19","8.8225","8.8532","8.6346","8.8239","7.5653","566924400"
"74","2010-04-20","8.8764","8.9018","8.6771","8.7354","7.4894","738326400"
"75","2010-04-21","9.2429","9.2946","9.1332","9.2579","7.9374","982391200"
"76","2010-04-22","9.2229","9.5268","9.15","9.5168","8.1594","793424800"
"77","2010-04-23","9.5711","9.7207","9.5357","9.6725","8.2929","796955600"
"78","2010-04-26","9.71","9.7307","9.5782","9.625","8.2521","479068800"
"79","2010-04-27","9.5454","9.5657","9.3043","9.3586","8.0237","709343600"
"80","2010-04-28","9.4018","9.4286","9.1575","9.3429","8.0102","758402400"
"81","2010-04-29","9.3936","9.6429","9.3575","9.5943","8.2258","558840800"
"82","2010-04-30","9.6182","9.6632","9.3214","9.3246","7.9946","542463600"
"83","2010-05-03","9.4229","9.5671","9.3886","9.5125","8.1557","454342000"
"84","2010-05-04","9.3889","9.4032","9.1696","9.2386","7.9208","723819600"
"85","2010-05-05","9.0368","9.2193","8.8832","9.1425","7.8385","883103200"
"86","2010-05-06","9.0654","9.2232","7.1161","8.7946","7.5402","1285860800"
"87","2010-05-07","8.7039","8.8061","8.0432","8.4236","7.2221","1676018400"
"88","2010-05-10","8.9375","9.0946","8.8761","9.0711","7.7772","984306400"
